,intitule,lieu,date,nom_entreprise,description,lien
27,"Data Scientist F/H - Système, réseaux, données (H/F)",lyon ,2022-02-18,IT LINK,"Descriptif du poste:

IT LINK LYON RECRUTE !
Dans le cadre du développement de nos activités sur le bassin lyonnais, nous recherchons un(e) Data Scientist pour rejoindre un projet chez l'un de nos clients, leader mondial dans le secteur de contrôle Qualité du verre. A ce titre, vous participerez à l'amélioration du procédé de fabrication en passant par l'utilisation des données collectées le long de la chaine de fabrication. Pour cela, vous devrez intégrer les données et les transformer afin de les rendre exploitable. A ce titre, vos missions seront les suivantes :
* Créer des graphiques afin d'en extraire des informations cibles,
* Analyser les relations entre les données à partir de l'outil mis à disposition,
* Créer des tables de données transformées,
* Rédiger des rapports d'activité,
* Participer à l'amélioration de l'outil,
* Réaliser une veille technologique fréquente sur de futurs produits « Data ».

Profil recherché:

Votre profil :
* Vous disposez d'une formation supérieure bac+5 en informatique ou équivalent,
* Vous justifiez d'une première expérience réussie en data engineering,
* Vous êtes proactif(ve), curieux(se), bon(ne) communiquant(e) et souhaitez apprendre de nouvelles technologies,
* Vous disposez d'un niveau d'anglais professionnel lu et parlé.
 
Vos compétences :
* Analyse de données,
* Connaissance des langages : Javascript, Python, C#
* Connaissance des technologies : Node.js, RabbitMq, HTTP (SOAP, REST), InfluxDB, Grafana, suite Elastic
* Des connaissances en Cloud Azure seraient un plus. ",https://candidat.pole-emploi.fr/offres/recherche/detail/9488616
28,Développeur Flutter (H/F),quincieu,2022-02-18,Unknow,"Si tu es curieux et que tu aimes travailler en équipe, alors lis la suite de ce poste.
 == > Offre ouverte au remote.
 Description de l'entreprise
 Apparence est un studio de transformation digitale qui accompagne ses clients dans leurs enjeux de digitalisation mobile au travers de deux verticales : ux/ui design & développement d'applications mobiles. Nous développons des applications avec une vision de qualité logicielle et humaine.
 Créée il y a 4 ans, notre Agence compte aujourd'hui une équipe de 13 personnes.
 Notre objectif ? Être le studio de référence dans le développement d'applications flutter en France.
 Description du poste
 Ta missionEn tant que développeur chez Apparence tu travailleras :
 * En pair programming
 * TDD
 * méthode vraiment agile (pas de scrum, car non agile != scrum)
 Nous aimons le code de qualité qui fonctionne.
 Les projets sur lesquels tu travailleras Nous travaillons par sprint sur différents projet. De la santé au sport en passant par l'iot. Nous aimons dire que notre métier est de comprendre et faciliter celui des autres.
 Tu ne travailleras que sur un projet à la fois. On ne produit pas de la qualité en étant au four et au moulin.
 Technologies que nous utilisons Tu n'as pas besoin de les connaitre aujourd'hui, tu pourras monter en compétence avec nous.
 * Flutter / Dart
 * Angular / typescript
 * Docker
 * Gitlab CI...
 Profil recherché Tu as minimum 3 ans d'expérience dans le développement et encore la soif d'apprendre.
 Tu ne connais pas encore Flutter ? C'est pas grave tant que la techno te plais, tu monteras en compétence avec nous (je suis sur que tu auras des choses à nous apprendre aussi).
 Type d'emploi : Temps plein, CDI
 Salaire : 2 000,00€ à 2 900,00€ par mois
 Avantages :
 * Titre-restaurant
 Horaires :
 * Périodes de travail de 8 heures
 Rémunération supplémentaire :
 * Primes
 ",https://candidat.pole-emploi.fr/offres/recherche/detail/9487699
29,"Data Scientist F/H - Système, réseaux, données (H/F)",lyon ,2022-02-17,LMI RECRUTEMENT & Associés,"Descriptif du poste:

Au sein du Pôle Data, en liaison avec les autres membres de l'équipe (Data Managers, Biostatisticiens, Data Scientists) et les équipes IT (Designers, WEB/IOS Développeurs), vous êtes en charge :

- De participer aux opérations de Data Management pour la constitution des bases de données d'études : Extractions, Nettoyage, Intégrité, Automatisation.



En partant des données brutes (Raw Data), vous vous attachez à extraire les informations pertinentes, à les nettoyer puis à les restituer sous une forme directement exploitable par les analystes. Ces données alimenteront les études épidémiologiques ou de Machine Learning.

- De la conception et de l'optimisation de bases de données pour nos outils de datavisualisation (sites web et applis IOS)

- De la réalisation d'analyses statistiques descriptives sur les bases de données du SNDS

- De la rédaction des méthodologies détaillant les algorithmes mis en place
 

Profil recherché:

- Vous êtes diplômé d'une grande école de commerce ou d'ingénieur avec une composante quantitative
- Vous maitrisez les principales familles d'algorithme et les outils de Data ScienceLangage de programmation adapté (R, Python)
- Maîtrise de SQLEnvironnement cloud (GCP, Azure, AWS) et système d'exploitation Linux
- Bonne maîtrise des algorithmes de classification/régression
- Capacité de déploiement des calculs sur les environnements distribués (Spark)Vous avez une bonne connaissance des solutions type DMP ou Web Analytics


Vous tirerez également votre épingle du jeu grâce aux éléments suivants :
- Une expérience sur des solutions de data visualisation est un plus
- Vous êtes curieux.euse, enthousiaste, pragmatique et rigoureux(euse)
- Vous êtes flexible et à l'aise au sein d'une équipe pluri disciplinaire
- Vous avez déjà travaillé dans un environnement international et justifiez d'un très bon niveau d'anglais (écrit et oral) ",https://candidat.pole-emploi.fr/offres/recherche/detail/9436200
30,CONSULTANT INTRAPRENEUR BI / BIG DATA F/H - Maîtrise d'ouvrage et fonctionnel (H/F),lyon ,2022-02-17,Caroline BRAUD,"Descriptif du poste:

Tu travailles au sein d'une ESN depuis une ou plusieurs années.&nbsp;¿
&nbsp;
T'en as marre que ta vie soit gérée par un(e) commercial(e) qui ne sait pas faire la différence entre un Data Wharehouse et un Tupperware et qui pense que BO est le Bulletin Officiel. Par contre, ce dernier a une excellente notion de la facturation et de la marge.&nbsp;¿¿¿¿
&nbsp;
Cela te surprend toujours d'être plus formé(e) et encadré(e) par ton client que par ta propre boîte.
L'unique solution pour faire évoluer ton CV : le hasard qu'une mission intéressante tombe lorsque tu te retrouves en inter contrat.&nbsp;¿¿¿¿
&nbsp;
Tu détestes les réunions d'entreprise où on te dit que ta société est la meilleure, qu'elle gagne plein de parts de marché et que c'est super.
Alors que&nbsp;deux mois avant on t'a expliqué que la conjoncture était tendue et que pour l'augmentation il faudra repasser.&nbsp;¿¿¿¿
&nbsp;
Finalement, seul ton CRA te relie à ta boîte au moins une fois par mois. D'ailleurs ""n'oublie pas de le faire avant de partir en vacances"".&nbsp;¿¿¿¿
&nbsp;
Si tu te reconnais, alors arrête les ESN et rejoins notre cabinet de consultants spécialisés et ne faisant QUE du décisionnel.&nbsp;¿¿¿¿
&nbsp;
Notre métier : faire exploser ton CV et tes compétences.&nbsp;¿¿¿¿
Une seule vision : que Next Decision grandisse par le savoir de ses salariés.&nbsp;¿¿¿¿
Une seule stratégie : l'échange de compétences entre les consultants. Un encadrement uniquement par des personnes du métier.&nbsp;¿¿¿¿
&nbsp;
Next Decision intervient en conseil et réalisation pour des grands comptes mais aussi des PME/PMI. Nous intervenons en expertise, formation, accompagnement et développement.
&nbsp;

Profil recherché:

* Tu connais au moins un élément de la chaîne décisionnelle
* Tu as toujours rêvé d'enfiler la casquette de ""patron"" pour acquérir liberté et autonomie dans ton poste
* Tu as envie de faire partie d'une communauté d'experts hypra soudée
* Tu aimes faire preuve d'agilité et jongler avec les technos&nbsp;
* Tu as soif de découvertes et de nouveaux défis sans jamais te reposer sur tes lauriers
&nbsp; ",https://candidat.pole-emploi.fr/offres/recherche/detail/9431221
31,CONSULTANT INTRAPRENEUR BI / BIG DATA F/H  (H/F),lyon ,2022-02-16,NEXT DECISION,"Tu travailles au sein d'une ESN depuis une ou plusieurs années.  

T'en as marre que ta vie soit gérée par un(e) commercial(e) qui ne sait pas faire la différence entre un Data Wharehouse et un Tupperware et qui pense que BO est le Bulletin Officiel. Par contre, ce dernier a une excellente notion de la facturation et de la marge.   
 

Cela te surprend toujours d'être plus formé(e) et encadré(e) par ton client que par ta propre boîte.

L'unique solution pour faire évoluer ton CV : le hasard qu'une mission intéressante tombe lorsque tu te retrouves en inter contrat.   


Tu détestes les réunions d'entreprise où on te dit que ta société est la meilleure, qu'elle gagne plein de parts de marché et que c'est super.

Alors que deux mois avant on t'a expliqué que la conjoncture était tendue et que pour l'augmentation il faudra repasser.   


Finalement, seul ton CRA te relie à ta boîte au moins une fois par mois. D'ailleurs ""n'oublie pas de le faire avant de partir en vacances"".   


Si tu te reconnais, alors arrête les ESN et rejoins notre cabinet de consultants spécialisés et ne faisant QUE du décisionnel.   

 
Notre métier : faire exploser ton CV et tes compétences.   

Une seule vision : que Next Decision grandisse par le savoir de ses salariés.   

Une seule stratégie : l'échange de compétences entre les consultants. Un encadrement uniquement par des personnes du métier.   

 
Next Decision intervient en conseil et réalisation pour des grands comptes mais aussi des PME/PMI. Nous intervenons en expertise, formation, accompagnement et développement.",https://candidat.pole-emploi.fr/offres/recherche/detail/128FNQM
32,Data analyst (H/F),lyon ,2022-02-16,Unknow,"Description du poste :
Dans le cadre d'un projet stratégique de transformation de l'entreprise, APAVE a lancé un projet visant à fournir aux directeurs, managers et collaborateurs des moyens de suivi et de pilotage de l'activité (reporting / dashboard / dataviz). Les grands axes du projet sont :
-harmoniser les processus de pilotage et déployer les bonnes pratiques
-outiller les managers et collaborateurs de moyens de suivi et de pilotage de leurs activités (ex : reporting / dashboard / dataviz) sur un spectre large de fonctions de l'entreprise (production, commerce, qualité, Finance / contrôle de gestion, RH,...)
-accompagner les utilisateurs dans la prise en main, l'adoption de ces nouveaux outils et la bonne application des bonnes pratiques
# Vos missions :
Vous serez responsable de la mise en place d'un certain nombre d'analyses métiers / outils analytics et serez amené à coordonner les travaux de data analystes juniors.
Vos missions seront, en tant que Data Analyste Métier, de mettre en place les moyens d'analyse sur toute la chaîne :
-collecte et challenge des besoins
-animation des groupes de travail avec les experts métiers
-identification des données sources et interaction avec les sachants par source de données
-le cas échéant vous mènerez des campagnes d'analyse de données pour qualifier les données et aider à préciser les règles de gestion
-conception et spécification (stratégie de sourcing, règles de gestions, kpis, viz)
-implémentation et accompagnement à la recette
-déploiement et assistance à l'utilisation
-mise à jour (rafraîchissement des données, pilotage du backlog de corrections / évolutions)
-Contribuer à la définition, la mise en place et le suivi du respects des bonnes pratiques sur la chaîne de production des briques analytics
-Vous coordonnez les travaux des autres data analystes pour garantir de la cohérence
-Vous managez des collaborateurs plus juniors
-Vous contribuez à l'animation de la gouvernance des données
Description du profil :
Votre profil : technico-fonctionnel data
-Vous avez une forte connaissance / culture du monde de la donnée et savez notamment apporter du conseil sur les bonnes pratiques de dataviz
-Vous êtes animé par le soucis d'apporter de la valeur et êtes orienté ""service rendu à l'utilisateur""
-Vous êtes force de proposition
-Vous êtes pragmatique, organisé, savez gérer vos priorités et savez piloter votre temps (estimation reste à faire, suivi)
# Compétences, aptitudes, expériences requises:
-Maîtrise de toute la chaîne data / reporting
-Tests et validation des données
-Analyse de données à des fins métiers
-Techniquement vous êtes parfaitement à l'aise d'une manière générale, mais particulièrement sur :
-Python (scikit learn, pandas, matplotlib, seaborn, dash)
-Power BI
-DataBricks
-Animation d'ateliers / réunions de travail
Vous avez ""la fibre"" Data Science et ou des expériences dans ce domaine, c'est un plus pour votre candidature.
Vous pouvez avoir fait votre expérience dans le la donnée en tant que data analyste métier / contrôleur de gestion et ou en tant que consultant / développeur BI ou Analytics.
Vous avez déjà de l'expérience sur un poste similaire ou avez beaucoup pratiqué dans un monde universitaire / personnel. ",https://candidat.pole-emploi.fr/offres/recherche/detail/9372992
33,Chef de projets Data Intelligence H/F,69,2022-02-16,Unknow,"L'entreprise
 Seenovate - L'autre regard sur la DATA
 Grâce à ses 15 années d'existence, Seenovate a l'ambition d'aller encore plus loin dans la recherche de l'excellence pour apporter à ses clients une innovation de pointe dans la connaissance et la valorisation de leurs données, notamment grâce à l'analyse prédictive.
 Nous sommes présents sur 4 villes: Montpellier, Lyon, Paris et Rennes.
 Seenovate c'est:
 * Plus de 90 Collaborateurs
 * 13M€ de CA en 2021
 * Plus de 350 Clients Actifs
 * Un partenariat SAP Gold actif depuis 2008
 Ils nous ont fait confiance:
 Ninkasi, Boiron, Lacoste, Geodis, Marionnaud, Alptis, B for Bank.
 Le Poste
 Pour accompagner la croissance de nos activités, nous recherchons un Chef de projets Data Intelligence (H/F) pour notre agence Lyonnaise.
 Vous aurez pour principales missions :
 · Accompagner les Métiers dans l'expression de leurs besoins
 · Être l'interface fonctionnel et technique privilégié entre le client et votre équipe (recueil du besoin, rédaction des spécifications et du cahier des charges, recette, modélisation)
 · Assurer la gestion de projet (définition des différentes phases du projet, définition d'une stratégie d'analyse des données, chiffrage, planning, préparation et animation des comités de pilotage, comptes rendus...)
 · Identifier les risques et définir le plan d'actions associé.
 · Être garant du respect des engagements vis-à-vis des clients et de Seenovate.
 Vous aurez à gérer des projets Data Intelligence (Business Intelligence + Data Science) en mode agile avec une équipe à taille humaine.
 Votre profil
 Titulaire d'un Bac+5 dans le domaine de l'Informatique Décisionnelle ou des Statistiques, vous justifiez d'une première expérience probante d'au moins trois ans sur un poste similaire.
 Vous êtes un(e) team player et possédez un excellent relationnel.
 Autonome, Organisé(e) et rigoureux(se), vous aimez intervenir sur des contextes Métiers divers et variés.
 Poste à pourvoir à Paris, Rennes et Montpellier également.
 Télétravail partiel possible.
 Type d'emploi : Temps plein, CDIStatut : Cadre
 Salaire : 44 000,00€ à 50 000,00€ par an
 Avantages :
 * Participation au Transport
 * RTT
 * Titre-restaurant
 * Travail à Distance
 Horaires :
 * Disponible le week-end
 * Du Lundi au Vendredi
 Rémunération supplémentaire :
 * Prime annuelle
 Formation:
 * Bac +5 (Master / MBA) (Optionnel)
 Date limite de candidature : 18/02/2022Date de début prévue : 01/03/2022
 ",https://candidat.pole-emploi.fr/offres/recherche/detail/9367404
34,"Data analyst F/H - Système, réseaux, données (H/F)",annecy,2022-02-16,TALENTISSIM,"Descriptif du poste:

&nbsp;
Vous êtes une personne créative, passionnée par la technologie et le web, qui sait prendre des initiatives et travailler en équipe.
Vous êtes organisé(e), rigoureux(se) et autonome dans votre travail, vous êtes une personne dotée d'un bon raisonnement et de fortes capacités d'analyses.
Notre cabinet&nbsp;Talentissim&nbsp;recrute pour une société leader dans les sites rencontre, un (e) data analyst H/F.
MISSIONS PRINCIPALES :&nbsp;
Votre mission principale consiste à vous approprier les business model &amp; data model de sorte à pouvoir extraire les données via les outils disponibles et en faire l'analyse.
Contrôler la qualité et la cohérence des données au sein du data model
Assurer le suivi au quotidien des KPI Groupe
Adapter les outils d'analyses ou d'aide au pilotage : indicateurs / tableaux de bord&nbsp;des diffé- rents services du Groupe ou de la Direction
Mise en place de reportings pour proposer de nouveaux leviers business marketing
Partager, synthétiser les résultats avec les différentes équipes et la direction afin de :&nbsp;o&nbsp;Les accompagner dans la compréhension de ces données et
o&nbsp;Les aider dans la prise de décision
Améliorer le connaissance client par l'analyse des comportements
CONDITIONS
Date de prise de poste : dès que possible
Salaire : Selon expérience + avantages de la société Avantages : Mutuelle, Prévoyance, Tickets Restaurants&nbsp;
Lieu d'exercice : Annecy
&nbsp;
Télétravail : non

Profil recherché:

PROFIL :
De formation BAC+4 +5 ou équivalent et orientée culture web
Vous maitrisez Excel, Google Analytics et avez une appétence particulière pour le langage SQL&nbsp;et la manipulation de données.
Autonomie, pro activité
¿ &nbsp;Votre rigueur, organisation et votre agilité vous permettent d'analyser et de contrôler une&nbsp;multitude de données avec finesse.
¿ &nbsp;Vous faites preuve de persévérance et de pédagogie pour expliquer les règles et animer des démarches d'améliorations des processus auprès des équipes.
¿ &nbsp;Vous avez l'univers e-business dans la peau et idéalement une première expérience professionnelle sur ce type d'activité ce serait un vrai plus ! ",https://candidat.pole-emploi.fr/offres/recherche/detail/9366933
35,Senior Data Manager h/f,lyon ,2022-02-16,Selescope,"Vous portez l'offre DATA auprès de nos clients. Vous intervenez sur des sujets de RPA, industrie 4.0, plateforme DataViz, (datalake) etc. Vous prenez la responsabilité de projets de transformation digitale auprès de nos clients. Vous intervenez sur des projets multi-secteurs dans un environnement à forte compétence fonctionnelle et technologique. Vous gérez des opérations complexes intégrant plusieurs dimensions (conseil, développement software, intégration de progiciels, maintenance évolutive, rénovation, conduite du changement.).

 

Vous optimisez les stratégies data et architecture des référentiels de données de nos clients en anticipant les évolutions métiers. Vous dialoguez avec les directions SI des entreprises pour comprendre les grands axes de développement stratégique.

 

Vous participez au choix de la solution en lien avec la maitrise d'ouvrage ou technique.

Votre expertise vous permet de garantir et d'assurer la qualité, les budgets et le respect des délais pour l'ensemble des projets qui vous seront confiés

En tant que pilote et Chef d'orchestre, vous intervenez sur des phases d'avant-vente aux cotés de l'équipe technique.

Votre rôle comprend une forte dimension RH : gestion d'équipes (5 à 10 P), suivi et développement des talents, .
De formation supérieure, vous possédez entre 5 et 10 ans d'expérience sur la conduite de projets digitaux au forfait, idéalement dans notre secteur d'activité (conseil et services informatiques / ESN / intégrateur de solutions / éditeur de logiciels), nous sommes ouverts aux profils issus de clients finaux.

 

Vous êtes par exemple consultant, chef de projet, directeur de projet et souhaitez donner un nouvel élan à votre carrière. Votre connaissance d'un secteur d'activité en particulier ne vous limitera pas. Vous aurez l'opportunité d'en découvrir d'autres.

 

Au-delà de votre expérience, votre personnalité et votre potentiel feront la différence : Rigueur, recul, sens de l'engagement, fortes capacités d'analyse et synthèse, posture de conseil.

 

Nous vous proposons : 

 

- des projets passionnants, au cœur des enjeux stratégiques de nos clients,

- de travailler au sein d'une équipe soudée, passionnée, dans la bonne humeur.

- d'intégrer une structure à taille humaine en forte croissance, aux valeurs fortes,

- de réelles possibilités de développement personnel et professionnel.

 

Poste basé à Lyon (Télétravail envisageable 1 à 2 jours par semaine).

Rémunération Fixe + Variable + TR + Mutuelle ",https://candidat.pole-emploi.fr/offres/recherche/detail/9360746
36,Data Intelligence Manager H/F,69,2022-02-16,Unknow,"L'entreprise
 Seenovate - L'autre regard sur la DATA
 Grâce à ses 15 années d'existence, Seenovate a l'ambition d'aller encore plus loin dans la recherche de l'excellence pour apporter à ses clients une innovation de pointe dans la connaissance et la valorisation de leurs données, notamment grâce à l'analyse prédictive.
 Nous sommes présents sur 4 villes: Montpellier, Lyon, Paris et Rennes.
 Seenovate c'est:
 * Plus de 90 Collaborateurs
 * 13M€ de CA en 2021
 * Plus de 350 Clients Actifs
 * Un partenariat SAP Gold actif depuis 2008
 Ils nous ont fait confiance:
 Ninkasi, Boiron, Lacoste, Geodis, Marionnaud, Alptis, B for Bank.
 Le poste
 En poste au sein de notre Agence lyonnaise, vous interviendrez dans le pilotage de projets d'envergure. Vous aurez pour principales missions:
 * Être l'interlocuteur fonctionnel et technique privilégié entre le client et votre équipe (recueil du besoin, rédaction des spécifications et du cahier des charges, recette, modélisation)
 * Assurer la gestion de projet (définition des différentes phases du projet, définition d'une stratégie d'analyse des données, chiffrage, planning, préparation et animation des comités de pilotage, comptes rendus.)
 * Manager une équipe technique (transfert et montée en compétences, suivi des intégrations de nouveaux collaborateurs, encadrement d'une équipe ( 5 à 7 collaborateurs))
 Vos compétences techniques vous permettront de collaborer sur différents projets d'analyse, de valorisation des données ou de transformation digitale informationnelle et d'interpréter les résultats issus des différentes analyses statistiques mises en œuvre avant présentation.
 Titulaire d'un Bac+5/ Bac+8 dans le domaine de l'Informatique Décisionnelle ou des Statistiques, vous justifiez d'une première expérience probante d'au moins cinq ans sur un poste similaire.
 Vous êtes un(e) team player et possédez un excellent relationnel.
 Votre leadership et votre expertise technique vous permettront de mener à bien l'ensemble de vos missions.
 Après un parcours en tant que Data Scientist ou Consultant BI expérimenté, vous avez pour volonté de manager une équipe de collaborateurs tout en étant garant de la bonne réussite d'un projet.
 Expert du domaine de la Data Intelligence, vous maîtriser la gestion des bases de données (MySQL, Oracle.) dans le cadre de projets décisionnels et avez des connaissances poussées sur au moins un ETL (Talend, ODI, SSIS, DataServices) ainsi qu'un ou plusieurs outils de restitution (BO, PowerBI .).
 Si votre profil est plus orienté Data Science, vous devrez alors maîtriser les méthodes statistiques classiques, être en capacité de définir une architecture technique cible et la mettre en œuvre.
 Vos compétences en programmation informatique vous permettront de développer des solutions d'analyse et des modèles de machine learning sur R et Python.
 Autonome, Organisé(e) et rigoureux(se), vous aimez intervenir sur des contextes Métiers divers et variés.
 Ce poste est à pourvoir à Paris, Montpellier et Rennes également
 Type d'emploi : Temps plein, CDI
 Salaire : 50 000,00€ à 60 000,00€ par an
 Type d'emploi : Temps plein, CDIStatut : Cadre
 Salaire : 50 000,00€ à 60 000,00€ par an
 Avantages :
 * Participation au Transport
 * RTT
 * Titre-restaurant
 * Travail à Distance
 Horaires :
 * Du Lundi au Vendredi
 * Repos le week-end
 Rémunération supplémentaire :
 * Prime annuelle
 Date de début prévue : 01/03/2022
 ",https://candidat.pole-emploi.fr/offres/recherche/detail/9360231
37,Lyon - Business Analyst Data H/F,rhône,2022-02-15,LINCOLN,"Envie de rejoindre Lincoln pour mettre en œuvre des solutions Big Data adaptées aux enjeux de nos clients ?  Ce que l'on vous propose :   Rejoindre LINCOLN, c'est rejoindre un cabinet de conseil reconnu pour son expertise data depuis 30 ans, en proposant des prestations d'expertise, de conseil et d'accompagnement en Moder BI et Big Data.Vous progresserez au sein d'une équipe de 240 experts de l'ingénierie big data.Vous évoluez ainsi dans un environnement technique stimulant et en constante évolution : architectures distribuées ; sécurisation, configuration et optimisation de plateformes ; gouvernance QoD ; industrialisation de projets data science. Ce que l'on attend de vous :  Assurer (en collaboration avec le product owner) la dimension fonctionnelle du domaine de données référentiel clientsConcevoir les solutions. Guider l'analyse, réaliser le cadrage. Rédiger les spécifications technico-fonctionnelle. Préparer la recette. Suivre la mise en œuvre (avec l'équipe scrum).Réaliser la modélisation des objets métiers du domaine dans le socle Big Data.Spécifier les flux d'alimentation et concevoir les expositions en collaboration avec l'équipe de Gouvernance Data.Être garant de la qualité du domaine de données : Identifier les défauts liés aux sourcingGérer les demande d'évolutions ou les anomalies remontées par les consommateursRôle au sens Agile: gestion du backlog produit, définition des user stories Vos atout pour réussir sur ce post :  Des fondamentaux théoriques acquis en cursus d'école d'ingénieur informatique ou universitaire avec une spécialisation IT, avec une expérience d'au minimum 3 ans dans la donné (Big Data ou Informatique décisionnelle / BI), idéalement dans le domaine du marketing client.Connaissances techniques : SQL (maitrise), commandes Linux (connaissances basiques), appel de webservices (basique). Manipulation de la donné (SQL, Fichiers, APIs) et AzureUne connaissance de Power BI est un plusSoft skills : curieux, méticuleux, esprit critique et analytiqueLa cerise sur le gâteau: Doté(e) d'un bon relationnel, vous aimez travailler en équipe Le poste est à pourvoir immédiatement en région Lyonnaise.Vous l'aurez compris : si vous êtes passionné(e) par la Data, que vous savez faire preuve d'écoute et recherchez une satisfaction personnelle de celle de vos clients, n'hésitez plus. postulez ???? ",https://candidat.pole-emploi.fr/offres/recherche/detail/9329186
38,Lyon - Data Analyst Confirmé(e) H/F,rhône,2022-02-15,LINCOLN,"Envie de rejoindre Lincoln pour donner du sens aux données de nos clients, les analyser et les restituer dans un contexte métier ?    Ce que l'on vous propose  Rejoindre LINCOLN, c'est rejoindre un cabinet de conseil reconnu pour son expertise data depuis 30 ans, en proposant des prestations d'expertise, de conseil et d'accompagnement en Modern BI et Big Data.Vous progresserez au sein d'une équipe de 240 experts de l'ingénierie big data.Vous évoluez ainsi dans un environnement technique stimulant et en constante évolution : architectures distribuées ; sécurisation, configuration et optimisation de plateformes ; gouvernance ; industrialisation de projets data science. Ce que l'on attend de vous  Consultant Lincoln, vous serez amené à travailler chez les clients finaux et évoluerez au sein d'équipes pluridisciplinaires.Vous interviendrez en tant que Data Analyst afin d'élaborer des reporting dans le but de moderniser le dispositif de pilotage.Le métier de DATA ANALYST vous permet de prendre en charge les responsabilités suivantes :Accompagnement des projets métier  La conception de projet ;La collaboration avec les équipes opérationnelles métiers pour connaitre le contexte d'intervention ;La collecte et la manipulation des données ;L'études statistiques et l'aptitude analytique ;La valorisation de l'information ;La présentation et restitution des résultats au client.Déploiement de reportings Extraction/Exploration des données sous BO/SAS/SQL Développer sur des base Oracle et Hadoop ;Constructions de requêtes SQL ou SAS ;Construction de cubes de données sous SAS ;Implémentation de dashboards sous Power BI ;Migration et transformation de reportings existants vers des restitutions plus visuels (Tableau, Dataiku, power BI).Gestion de la plateforme Power BI Gestion des droits ;Exploration du champs des possibles.Data quality AnalysesSuivi des anomaliesValidation des correctionsMise en place de requête de contrôle Vos atouts pour réussir sur ce poste  Des fondamentaux théoriques acquis en cursus école d'ingénieurs informatique ou universitaire avec une spécialisation IT, avec une expérience d'au minimum 4 ans dans la data sur des fonctions Analyse/DatavizUn niveau avancé sur SQL, SAS et AlteryxDe solides compétences sur PowerBILa cerise sur le gâteau : Vous faite preuve d'autonomie, de rigueur. La créativité, la curiosité et un bon sens du relationnel sont des qualités que l'on vous reconnait. ",https://candidat.pole-emploi.fr/offres/recherche/detail/9328437
39,Ingénieur Big Data (H/F) (IT),rhône,2022-02-15,Carriere Info,"CITECH recrute ! ???? ¿ Si vous souhaitez apporter vos compétences dans la réalisation de différents projets, nous avons LA mission pour vous ! Nous recherchons en effet un(e) Ingénieur Big Data (H/F). ???? Notre client est spécialisé dans le secteur de l'électroménager et il travaille actuellement sur la mise en place d'un datalake pour le E-commerce. ???? ???????? Vous aurez donc les missions principales suivantes : ???????? ???? La collecte des données via API depuis les bases des clients. ???? La transformation de ces données avec Spark sur Cloud AWS. ???? La contribution à la compréhension des besoins métiers. ???? La participation à la conception technique et au chiffrage. ???? L'accompagnement dans le déploiement des solutions. ???? La qualification, l'intégration, et le déploiement sur les environnements de production. ???? La contribution à l'amélioration des processus afin de faire évoluer la performance de l'équipe ainsi que la qualité des réalisations. ",https://candidat.pole-emploi.fr/offres/recherche/detail/9327890
40,Développeur backend big data Java Python F/H - Informatique de gestion (H/F),grenoble,2022-02-15,Hays France,"Descriptif du poste:
Intégration au sein d'une équipe de Développeurs (15 personnes). Au sein de cette équipe et suivant votre expérience professionnelle vous êtes amené à :
- Participer à l'architecture des applications
- Définir et rédiger le cahier des charges
- Tester et déployer la solution
- Faire du reporting
- Etre le référent technique de l'équipe de Développeurs.

Profil recherché:
Environnement technique : java, python, flink, storm, RabbitMQ, noSQL, Moteur indexation. dans un contexte applicatif de calcul distribué (temps réel et batch). 

Formation idéale : DUT + Ingénieur (idéalement grande école : INSA, ENSIMAG, PolyTech ou cursus similaire)
Expérience :  3 ans minimum 
Culture : agile, devOps, indus, langue anglaise technique 

Localisation : Grenoble, flexibilité télétravail 3j semaine max 

Rejoindre un éditeur tourné vers des technologies de pointe et centrées sur l'innovation vous permet de relever un véritable challenge et de monter en compétences dans une ambiance d'entraide et de transfert de connaissances. Intégrez une équipe soudée, conviviale dans un environnement de travail créatif et agréable !

Je suis aujourd'hui consultant pour Hays Technology, spécialisé dans les recrutements en CDI de Développeurs, de profils juniors à des postes de Tech / Team leader, sur les départements de la l'Isère, de la Savoie et de la Haute-Savoie. Je fais en sorte de par ma connaissance du marché, de faire matcher votre projet de carrière, vos envies et motivations avec les projets de mes clients. L'idée est de vous trouver l'opportunité la plus en adéquation avec vos envies.

Chez Hays Technology, nous façonnons l'avenir du recrutement. Les compétences en développement logiciel n'ont jamais été aussi nécessaires et de ce fait, nous sommes au cœur des transformations digitales de nos clients. Que vous soyez à la recherche de compétences pour votre équipe, ou que vous cherchiez à passer à la prochaine étape de votre carrière, nous pouvons en parler dès aujourd'hui ",https://candidat.pole-emploi.fr/offres/recherche/detail/9307907
